ExperimentID,ParticipantID,Activity,Activity_Sub_Type,Surface,Hand,Toilet_type,Sex,ID,SurfaceCategories
YPPXM4223O,CEW008,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW009,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW010,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW011,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW012,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW013,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW014,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW015,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW016,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW017,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW018,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW019,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW020,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW021,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW022,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW023,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW024,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW025,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW026,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW027,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW028,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW029,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW030,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW031,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW032,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW033,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW034,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW035,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW036,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW037,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW038,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW039,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW040,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW041,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW042,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW043,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW044,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW045,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
YPPXM4223O,CEW045,Urination,NA,Exit,NA,Women,Female,1 CEW005,Door
WPNWF7148K,CEW005,Defecation,NA,Outside door handle,Right,Women,Female,2 CEW005,Door
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle outside,Left,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Right,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Phone,Right,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Clothing,Both,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Skin,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Phone,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Clothing,Both,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Flush button,Right,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Phone,Left,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Cubicle door handle inside,Right,Women,Female,2 CEW005,Cubicle
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Soap dispenser,Left,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Tap,Right,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Phone,Right,Women,Female,2 CEW005,Personal
WPNWF7148K,CEW005,Defecation,NA,Hand dryer,Both,Women,Female,2 CEW005,Hygiene
WPNWF7148K,CEW005,Defecation,NA,Inside door handle,Left,Women,Female,2 CEW005,Door
RTIHL2258R,CEW005,MHM,Sanitary pad,Outside door handle,Right,Women,Female,3 CEW005,Door
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle outside,Left,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Left,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Right,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Sanitary pad,Right,Women,Female,3 CEW005,MHM
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Sanitary pad,Left,Women,Female,3 CEW005,MHM
RTIHL2258R,CEW005,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW005,Personal
RTIHL2258R,CEW005,MHM,Sanitary pad,Flush button,Right,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Cubicle door handle inside,Right,Women,Female,3 CEW005,Cubicle
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Soap dispenser,Left,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Hand dryer,Both,Women,Female,3 CEW005,Hygiene
RTIHL2258R,CEW005,MHM,Sanitary pad,Inside door handle,Left,Women,Female,3 CEW005,Door
MXKYM6897V,CEW015,Urination,NA,Outside door handle,Right,Women,Female,1 CEW015,Door
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Left,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Clothing,Both,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Phone,Left,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Toilet paper,Both,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Clothing,Both,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Phone,Left,Women,Female,1 CEW015,Personal
MXKYM6897V,CEW015,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Flush button,Right,Women,Female,1 CEW015,Cubicle
MXKYM6897V,CEW015,Urination,NA,Tap,Left,Women,Female,1 CEW015,Hygiene
MXKYM6897V,CEW015,Urination,NA,Tap,Right,Women,Female,1 CEW015,Hygiene
MXKYM6897V,CEW015,Urination,NA,Paper towel ,Right,Women,Female,1 CEW015,Hygiene
MXKYM6897V,CEW015,Urination,NA,Paper towel ,Right,Women,Female,1 CEW015,Hygiene
MXKYM6897V,CEW015,Urination,NA,Bin outside the cubicle,Left,Women,Female,1 CEW015,Hygiene
MXKYM6897V,CEW015,Urination,NA,Inside door handle,Left,Women,Female,1 CEW015,Door
MMHSI0598X,CEW015,Defecation,NA,Outside door handle,Right,Women,Female,2 CEW015,Door
MMHSI0598X,CEW015,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Phone,Right,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Clothing,Both,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Clothing,Right,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Clothing,Right,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Clothing,Right,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Clothing,Both,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Flush button,Right,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Toilet brush handle,Left,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Phone,Left,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Phone,Right,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Flush button,Right,Women,Female,2 CEW015,Cubicle
MMHSI0598X,CEW015,Defecation,NA,Tap,Left,Women,Female,2 CEW015,Hygiene
MMHSI0598X,CEW015,Defecation,NA,Tap,Right,Women,Female,2 CEW015,Hygiene
MMHSI0598X,CEW015,Defecation,NA,Tap,Right,Women,Female,2 CEW015,Hygiene
MMHSI0598X,CEW015,Defecation,NA,Paper towel ,Right,Women,Female,2 CEW015,Hygiene
MMHSI0598X,CEW015,Defecation,NA,Bin outside the cubicle,Left,Women,Female,2 CEW015,Hygiene
MMHSI0598X,CEW015,Defecation,NA,Phone,Both,Women,Female,2 CEW015,Personal
MMHSI0598X,CEW015,Defecation,NA,Inside door handle,Left,Women,Female,2 CEW015,Door
UBTTQ3458J,CEW015,MHM,Sanitary pad,Outside door handle,Right,Women,Female,3 CEW015,Door
UBTTQ3458J,CEW015,MHM,Sanitary pad,Cubicle door handle inside,Left,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Cubicle door handle inside,Right,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Bag,Left,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Phone,Right,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Hair,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Sanitary pad,Left,Women,Female,3 CEW015,MHM
UBTTQ3458J,CEW015,MHM,Sanitary pad,Sanitary pad,Both,Women,Female,3 CEW015,MHM
UBTTQ3458J,CEW015,MHM,Sanitary pad,Bin inside the cubicle,Left,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Sanitary pad,Left,Women,Female,3 CEW015,MHM
UBTTQ3458J,CEW015,MHM,Sanitary pad,Toilet paper,Both,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Flush button,Right,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Bag,Left,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Phone,Left,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Toilet brush handle,Right,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Clothing,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Flush button,Right,Women,Female,3 CEW015,Cubicle
UBTTQ3458J,CEW015,MHM,Sanitary pad,Tap,Left,Women,Female,3 CEW015,Hygiene
UBTTQ3458J,CEW015,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW015,Hygiene
UBTTQ3458J,CEW015,MHM,Sanitary pad,Tap,Right,Women,Female,3 CEW015,Hygiene
UBTTQ3458J,CEW015,MHM,Sanitary pad,Paper towel ,Right,Women,Female,3 CEW015,Hygiene
UBTTQ3458J,CEW015,MHM,Sanitary pad,Bin outside the cubicle,Left,Women,Female,3 CEW015,Hygiene
UBTTQ3458J,CEW015,MHM,Sanitary pad,Phone,Right,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Hair,Both,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Phone,Right,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Bag,Left,Women,Female,3 CEW015,Personal
UBTTQ3458J,CEW015,MHM,Sanitary pad,Inside door handle,Left,Women,Female,3 CEW015,Door
NZFQO4331M,CEW017,Urination,NA,Cubicle door handle outside,Left,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Cubicle door handle inside,Left,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Toilet paper,Left,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Toilet paper,Right,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Clothing,Both,Women,Female,1 CEW017,Personal
NZFQO4331M,CEW017,Urination,NA,Phone,Right,Women,Female,1 CEW017,Personal
NZFQO4331M,CEW017,Urination,NA,Hair,Both,Women,Female,1 CEW017,Personal
NZFQO4331M,CEW017,Urination,NA,Toilet paper,Both,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Clothing,Both,Women,Female,1 CEW017,Personal
NZFQO4331M,CEW017,Urination,NA,Flush button,Left,Women,Female,1 CEW017,Cubicle
NZFQO4331M,CEW017,Urination,NA,Phone,Right,Women,Female,1 CEW017,Personal
NZFQO4331M,CEW017,Urination,NA,Soap dispenser,Left,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Tap,Right,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Tap,Right,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Tap,Right,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Soap dispenser,Left,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Tap,Right,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Tap,Right,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Hand dryer,Both,Women,Female,1 CEW017,Hygiene
NZFQO4331M,CEW017,Urination,NA,Inside door handle,Right,Women,Female,1 CEW017,Door
CNCNL8817S,CEW017,Defecation,NA,Cubicle door handle outside,Left,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Cubicle door handle inside,Right,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Clothing,Both,Women,Female,2 CEW017,Personal
CNCNL8817S,CEW017,Defecation,NA,Phone,Right,Women,Female,2 CEW017,Personal
CNCNL8817S,CEW017,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Clothing,Both,Women,Female,2 CEW017,Personal
CNCNL8817S,CEW017,Defecation,NA,Flush button,Right,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW017,Cubicle
CNCNL8817S,CEW017,Defecation,NA,Soap dispenser,Left,Women,Female,2 CEW017,Hygiene
CNCNL8817S,CEW017,Defecation,NA,Tap,Right,Women,Female,2 CEW017,Hygiene
CNCNL8817S,CEW017,Defecation,NA,Soap dispenser,Left,Women,Female,2 CEW017,Hygiene
CNCNL8817S,CEW017,Defecation,NA,Tap,Right,Women,Female,2 CEW017,Hygiene
CNCNL8817S,CEW017,Defecation,NA,Hand dryer,Both,Women,Female,2 CEW017,Hygiene
CNCNL8817S,CEW017,Defecation,NA,Hair,Both,Women,Female,2 CEW017,Personal
CNCNL8817S,CEW017,Defecation,NA,Inside door handle,Left,Women,Female,2 CEW017,Door
NJKKJ2731E,CEW017,MHM,Menstrual cup,Soap dispenser,Left,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Soap dispenser,Left,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Cubicle door handle inside,Right,Women,Female,3 CEW017,Cubicle
NJKKJ2731E,CEW017,MHM,Menstrual cup,Clothing,Both,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Phone,Right,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Clothing,Both,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Menstrual cup,Right,Women,Female,3 CEW017,MHM
NJKKJ2731E,CEW017,MHM,Menstrual cup,Skin,Right,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Toilet paper,Both,Women,Female,3 CEW017,Cubicle
NJKKJ2731E,CEW017,MHM,Menstrual cup,Bin inside the cubicle,Right,Women,Female,3 CEW017,Cubicle
NJKKJ2731E,CEW017,MHM,Menstrual cup,Clothing,Both,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Flush button,Right,Women,Female,3 CEW017,Cubicle
NJKKJ2731E,CEW017,MHM,Menstrual cup,Phone,Right,Women,Female,3 CEW017,Personal
NJKKJ2731E,CEW017,MHM,Menstrual cup,Cubicle door handle inside,Right,Women,Female,3 CEW017,Cubicle
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Soap dispenser,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Tap,Right,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Hand dryer,Both,Women,Female,3 CEW017,Hygiene
NJKKJ2731E,CEW017,MHM,Menstrual cup,Inside door handle,Right,Women,Female,3 CEW017,Door
PHLRV8051T,CEW023,Urination,NA,Outside door handle,Right,Women,Female,1 CEW023,Door
PHLRV8051T,CEW023,Urination,NA,Cubicle door handle outside,Left,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Cubicle door handle inside,Left,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Bag,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Clothing,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Phone,Right,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Phone,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Toilet paper,Both,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Clothing,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Skin,Right,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Clothing,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Bag,Both,Women,Female,1 CEW023,Personal
PHLRV8051T,CEW023,Urination,NA,Cubicle door handle inside,Right,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Tap,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Flush button,Left,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Flush button,Left,Women,Female,1 CEW023,Cubicle
PHLRV8051T,CEW023,Urination,NA,Tap,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Tap,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Paper towel ,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Paper towel ,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Bin outside the cubicle,Right,Women,Female,1 CEW023,Hygiene
PHLRV8051T,CEW023,Urination,NA,Inside door handle,Left,Women,Female,1 CEW023,Door
JUYVY3080H,CEW023,Defecation,NA,Outside door handle,Right,Women,Female,2 CEW023,Door
JUYVY3080H,CEW023,Defecation,NA,Cubicle door handle inside,Left,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Bag,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Clothing,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Phone,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Skin,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Skin,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Toilet paper,Both,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Skin,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Clothing,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Flush button,Right,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Bag,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Outside door handle,Right,Women,Female,2 CEW023,Door
JUYVY3080H,CEW023,Defecation,NA,Tap,Right,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Flush button,Right,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Flush button,Right,Women,Female,2 CEW023,Cubicle
JUYVY3080H,CEW023,Defecation,NA,Tap,Right,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Tap,Right,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Tap,Right,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Paper towel ,Both,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Bin outside the cubicle,Left,Women,Female,2 CEW023,Hygiene
JUYVY3080H,CEW023,Defecation,NA,Bag,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Face,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Face,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Face,Right,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Bag,Both,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Hair,Left,Women,Female,2 CEW023,Personal
JUYVY3080H,CEW023,Defecation,NA,Inside door handle,Right,Women,Female,2 CEW023,Door
UEJEG5402G,CEW023,MHM,Sanitary pad,Outside door handle,Right,Women,Female,3 CEW023,Door
UEJEG5402G,CEW023,MHM,Sanitary pad,Cubicle door handle inside,Left,Women,Female,3 CEW023,Cubicle
UEJEG5402G,CEW023,MHM,Sanitary pad,Cubicle door handle outside,Left,Women,Female,3 CEW023,Cubicle
UEJEG5402G,CEW023,MHM,Sanitary pad,Bag,Both,Women,Female,3 CEW023,Personal
